,Year,State,Sep_pod_forecast,Oct_pod_forecast,Nov_pod_forecast
170,2009,MINNESOTA,1456.0,1542.0,1611
171,2010,MINNESOTA,1679.0,1741.0,1783
172,2011,MINNESOTA,1670.0,1705.0,1678
173,2012,MINNESOTA,1587.0,1606.0,1605
174,2013,MINNESOTA,1433.0,,1400
175,2014,MINNESOTA,1414.0,1431.0,1434
176,2015,MINNESOTA,1637.0,1644.0,1612
177,2016,MINNESOTA,1614.0,1625.0,1658
178,2017,MINNESOTA,1359.0,1407.0,1480
179,2018,MINNESOTA,1605.0,1616.0,1569
180,2019,MINNESOTA,1465.0,1474.0,1458
181,1987,MISSOURI,,,1353
182,1988,MISSOURI,,,1254
183,1989,MISSOURI,,,1298
184,1990,MISSOURI,1298.0,,1301
185,1991,MISSOURI,1239.0,,1416
186,1992,MISSOURI,1682.0,,1607
187,1993,MISSOURI,1493.0,,1727
188,1994,MISSOURI,1470.0,,1643
189,1995,MISSOURI,895.0,,1462
190,1996,MISSOURI,1491.0,,1688
191,1997,MISSOURI,1539.0,,1591
192,1998,MISSOURI,1847.0,1876.0,1878
193,1999,MISSOURI,1242.0,1467.0,1508
194,2000,MISSOURI,1974.0,1769.0,1782
195,2001,MISSOURI,1424.0,1732.0,1874
196,2002,MISSOURI,1427.0,1609.0,1681
197,2003,MISSOURI,1144.0,1455.0,1547
198,2004,MISSOURI,1798.0,1943.0,1998
199,2005,MISSOURI,1458.0,1585.0,1679
200,2006,MISSOURI,1631.0,1746.0,1738
201,2007,MISSOURI,1566.0,1579.0,1685
202,2008,MISSOURI,1538.0,1473.0,1673
203,2009,MISSOURI,1856.0,1983.0,2083
204,2010,MISSOURI,1924.0,1899.0,1986
205,2011,MISSOURI,1957.0,1781.0,1836
206,2012,MISSOURI,1347.0,1205.0,1274
207,2013,MISSOURI,1528.0,,1522
208,2014,MISSOURI,2050.0,1969.0,2055
209,2015,MISSOURI,1612.0,1755.0,1869
210,2016,MISSOURI,1881.0,2006.0,2123
211,2017,MISSOURI,2041.0,2172.0,2253
212,2018,MISSOURI,1777.0,1899.0,1948
213,2019,MISSOURI,1719.0,1754.0,1898
214,1987,NEBRASKA,,,1265
215,1988,NEBRASKA,,,1232
216,1989,NEBRASKA,,,1279
217,1990,NEBRASKA,1535.0,,1320
218,1991,NEBRASKA,1487.0,,1423
219,1992,NEBRASKA,1517.0,,1504
220,1993,NEBRASKA,1469.0,,1414
221,1994,NEBRASKA,1676.0,,1826
222,1995,NEBRASKA,1404.0,,1420
223,1996,NEBRASKA,1715.0,,1514
224,1997,NEBRASKA,1716.0,,1345
225,1998,NEBRASKA,1849.0,1784.0,1810
226,1999,NEBRASKA,1877.0,1880.0,1872
227,2000,NEBRASKA,1795.0,1617.0,1619
228,2001,NEBRASKA,1961.0,1932.0,2003
229,2002,NEBRASKA,1548.0,1517.0,1587
230,2003,NEBRASKA,1727.0,1642.0,1636
231,2004,NEBRASKA,1835.0,1836.0,1895
232,2005,NEBRASKA,1862.0,1903.0,1920
233,2006,NEBRASKA,1740.0,1801.0,1784
234,2007,NEBRASKA,1876.0,2042.0,2088
235,2008,NEBRASKA,1692.0,1766.0,1857
236,2009,NEBRASKA,1793.0,1878.0,1868
237,2010,NEBRASKA,1906.0,2109.0,2121
238,2011,NEBRASKA,2032.0,2075.0,2141
239,2012,NEBRASKA,1406.0,1509.0,1516
240,2013,NEBRASKA,1671.0,,1801
241,2014,NEBRASKA,1634.0,1707.0,1743
242,2015,NEBRASKA,1816.0,1863.0,1884
243,2016,NEBRASKA,1947.0,2036.0,2074
244,2017,NEBRASKA,1653.0,1795.0,1853
245,2018,NEBRASKA,1736.0,2071.0,2174
246,2019,NEBRASKA,1669.0,1777.0,1722
247,2004,NORTH DAKOTA,1114.0,1148.0,1243
248,2005,NORTH DAKOTA,1526.0,1471.0,1496
249,2006,NORTH DAKOTA,1169.0,1241.0,1260
