Year,State,Sep_pod_forecast,Oct_pod_forecast,Nov_pod_forecast
1999.0,MINNESOTA,1612.0,1555.0,1563.0
2000.0,MINNESOTA,1607.0,1509.0,1507.0
2001.0,MINNESOTA,1492.0,1433.0,1475.0
2002.0,MINNESOTA,1688.0,1785.0,1739.0
2003.0,MINNESOTA,1582.0,1417.0,1440.0
2004.0,MINNESOTA,1487.0,1406.0,1446.0
2005.0,MINNESOTA,1684.0,1598.0,1640.0
2006.0,MINNESOTA,1612.0,1586.0,1568.0
2007.0,MINNESOTA,1558.0,1589.0,1588.0
2008.0,MINNESOTA,1466.0,1493.0,1470.0
2009.0,MINNESOTA,1456.0,1542.0,1611.0
2010.0,MINNESOTA,1679.0,1741.0,1783.0
2011.0,MINNESOTA,1670.0,1705.0,1678.0
2012.0,MINNESOTA,1587.0,1606.0,1605.0
2013.0,MINNESOTA,1433.0,,1400.0
2014.0,MINNESOTA,1414.0,1431.0,1434.0
2015.0,MINNESOTA,1637.0,1644.0,1612.0
2016.0,MINNESOTA,1614.0,1625.0,1658.0
2017.0,MINNESOTA,1359.0,1407.0,1480.0
2018.0,MINNESOTA,1605.0,1616.0,1569.0
2019.0,MINNESOTA,1465.0,1474.0,1458.0
1987.0,MISSOURI,,,1353.0
1988.0,MISSOURI,,,1254.0
1989.0,MISSOURI,,,1298.0
1990.0,MISSOURI,1298.0,,1301.0
1991.0,MISSOURI,1239.0,,1416.0
1992.0,MISSOURI,1682.0,,1607.0
1993.0,MISSOURI,1493.0,,1727.0
1994.0,MISSOURI,1470.0,,1643.0
1995.0,MISSOURI,895.0,,1462.0
1996.0,MISSOURI,1491.0,,1688.0
1997.0,MISSOURI,1539.0,,1591.0
1998.0,MISSOURI,1847.0,1876.0,1878.0
1999.0,MISSOURI,1242.0,1467.0,1508.0
2000.0,MISSOURI,1974.0,1769.0,1782.0
2001.0,MISSOURI,1424.0,1732.0,1874.0
2002.0,MISSOURI,1427.0,1609.0,1681.0
2003.0,MISSOURI,1144.0,1455.0,1547.0
2004.0,MISSOURI,1798.0,1943.0,1998.0
2005.0,MISSOURI,1458.0,1585.0,1679.0
2006.0,MISSOURI,1631.0,1746.0,1738.0
2007.0,MISSOURI,1566.0,1579.0,1685.0
2008.0,MISSOURI,1538.0,1473.0,1673.0
2009.0,MISSOURI,1856.0,1983.0,2083.0
2010.0,MISSOURI,1924.0,1899.0,1986.0
2011.0,MISSOURI,1957.0,1781.0,1836.0
2012.0,MISSOURI,1347.0,1205.0,1274.0
2013.0,MISSOURI,1528.0,,1522.0
2014.0,MISSOURI,2050.0,1969.0,2055.0
2015.0,MISSOURI,1612.0,1755.0,1869.0
2016.0,MISSOURI,1881.0,2006.0,2123.0
2017.0,MISSOURI,2041.0,2172.0,2253.0
2018.0,MISSOURI,1777.0,1899.0,1948.0
2019.0,MISSOURI,1719.0,1754.0,1898.0
1987.0,NEBRASKA,,,1265.0
1988.0,NEBRASKA,,,1232.0
1989.0,NEBRASKA,,,1279.0
1990.0,NEBRASKA,1535.0,,1320.0
1991.0,NEBRASKA,1487.0,,1423.0
1992.0,NEBRASKA,1517.0,,1504.0
1993.0,NEBRASKA,1469.0,,1414.0
1994.0,NEBRASKA,1676.0,,1826.0
1995.0,NEBRASKA,1404.0,,1420.0
1996.0,NEBRASKA,1715.0,,1514.0
1997.0,NEBRASKA,1716.0,,1345.0
1998.0,NEBRASKA,1849.0,1784.0,1810.0
1999.0,NEBRASKA,1877.0,1880.0,1872.0
2000.0,NEBRASKA,1795.0,1617.0,1619.0
2001.0,NEBRASKA,1961.0,1932.0,2003.0
2002.0,NEBRASKA,1548.0,1517.0,1587.0
2003.0,NEBRASKA,1727.0,1642.0,1636.0
2004.0,NEBRASKA,1835.0,1836.0,1895.0
2005.0,NEBRASKA,1862.0,1903.0,1920.0
2006.0,NEBRASKA,1740.0,1801.0,1784.0
2007.0,NEBRASKA,1876.0,2042.0,2088.0
2008.0,NEBRASKA,1692.0,1766.0,1857.0
